Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Creed III: Efsane Devam Ediyor,Creed III,"Macera, Dram, Spor",Michael B. Jordan,3/3/2023,"52,421","4,555,536","Irwin Winkler, Charles Winkler, William Chartoff","Michael B. Jordan, Tessa Thompson, Jonathan Majors",6.7,4,ABD
Karlar Kralı Norm 3: Aile Tatili,Norm of the North: Family Vacation,Animasyon,Anthony Bell,3/17/2023,"51,270","3,748,155","Andrew Tight, Лиз Янг","Lisa Durupt, Jonathan Holmes, Brian Drummond",3.0,12,ABD
Konuş Benimle,Talk to Me,"Korku, Gerilim","Danny Philippou, Michael Philippou",9/1/2023,"50,352","4,963,713","Kristina Ceyton, Samantha Jennings","Sophie Wilde, Alexandra Jensen, Joe Bird",7.1,10,Avustralya
Hayat,,Dram,Zeki Demirkubuz,12/15/2023,"70,036","8,774,952",Mavi Film,"Miray Daner, Burak Dakak, Cem Davran",7.4,14,Türkiye
Şeytanın Düşmanı,The Pope's Exorcist,"Korku, Gerilim",Julius Avery,5/5/2023,"49,351","3,954,163","Doug Belgrad, Michael Patrick Kaczmarek, Jeff Katz","Russell Crowe, Ralph Ineson, Franco Nero",6.1,8,ABD
Çocuk ve Balıkçıl,"Kimitachi wa dô ikiru ka, The Boy and the Heron","Macera, Animasyon, Dram",Hayao Miyazaki,10/27/2023,"59,748","6,513,691","Gorō Miyazaki, Toshio Suzuki, Koji Hoshino","Soma Santoki, Masaki Suda, Kô Shibasaki",7.6,21,Japonya
Mavka: Ormanın Şarkısı,"Mavka, Mavka: The Forest Song",Animasyon,"Oleksandra Ruban, Oleh Malamuzh, Yevheniy Yermak",10/27/2023,"48,343","4,926,077","Egor Olesov, Anna Eliseeva, Iryna Kostiuk","Nataliya Denisenko, Artem Pivovarov, Elena Kravets",6.6,16,Ukrayna
Alem-i Cin 4,,Korku,Burak Çelik,4/21/2023,"45,351","3,492,230",BMS Film,"Merve Özel, Onur Aziz Özdemir, Levent Çakır",2.8,4,Türkiye
Meksika Açmazı,,Komedi,Alper Mestçi,11/17/2023,"43,725","5,113,083","Muhteşem Film, TME Films","Mesut Süre, Fazlı Polat, Anlatanadam",4.0,7.5,Türkiye
65,,"Gerilim, Bilim-Kurgu","Bryan Woods, Scott Beck",3/10/2023,"43,546","3,402,162","Scott Beck, Bryan Woods, Sam Raimi","Adam Driver, Ariana Greenblatt, Chloe Coleman",5.4,6,ABD
Yaratıcı,The Creator,"Bilim-Kurgu, Dram, Romantik",Gareth Edwards,9/29/2023,"41,795","4,973,284","Gareth Edwards, Arnon Milchan, Kiri Hart","John David Washington, Madeleine Yuna Voyles, Gemma Chan",6.8,4,ABD
Gran Turismo,,"Macera, Dram, Spor",Neill Blomkamp,8/25/2023,"41,633","4,706,632","Dana Brunetti, Carter Swan, Doug Belgrad","Archie Madekwe, David Harbour, Orlando Bloom",7.2,8,ABD
Süper Aile,"Helt super, Just Super","Animasyon, Aile",Rasmus A. Sivertsen,5/19/2023,"40,119","3,195,772","Åshild Ariane Ramborg, Stian Tveiten","Hennika Huuse, Todd Bishop Monrad Vistven, Johannes Kjærnes",5.4,8,Norveç
Kahraman Kuyruklar,"Pattie et la colère de Poséidon, Epic Tails","Macera, Komedi, Animasyon","David Alaux, Eric Tosti;, Jean-François Tosti",3/17/2023,"37,734","2,792,077",Jean-François Tosti,"Kaycie Chase, Christophe Lemoine, Emmanuel Curtil",5.8,11,Fransa
Venedik'te Cinayet,A Haunting In Venice,"Dram, Suç, Gizem",Kenneth Branagh,9/15/2023,"37,159","4,268,848","Kenneth Branagh, Ridley Scott, Simon Kinberg","Kenneth Branagh, Michelle Yeoh, Jamie Dornan",6.5,8,ABD
Bursa Bülbülü,,"Komedi, Müzik",Hakan Algül,10/6/2023,"36,861","3,098,635",BKM,"Ata Demirer, Cem Gelinoğlu, Özge Özacar",6.8,6,Türkiye
Üçlü Pürüz,,Komedi,Vedat Uyar,4/21/2023,"34,689","2,549,198","Aytaç Medya, Selkare Digital Post","Okan Cabalar, Emrah Kaman, Korhan Herduran",4.7,7,Türkiye
"Zübeyde, Analar ve Oğullar",,"Dram, Tarihi, Biyografi",Cenk Yaz,10/13/2023,"33,984","3,032,457",ICNN Yapım,"Aslıhan Güner, Alican Yücesoy, Emre Kınay",5.8,8,Türkiye
Hüddam 3: Lamia,,Korku,Utku Uçar,6/16/2023,"33,763","2,742,862","Hayal Sanat, Vagon Film","Hakan Erkuran, Ayhan Yılmaz, Cemal Naci Bakiler",5.3,14,Türkiye
Hayata Röveşata Çeken Adam,A Man Called Otto,Dram,Marc Forster,3/3/2023,"33,368","2,858,752","Tom Hanks, Rita Wilson, Fredrik Wikström","Tom Hanks, Rachel Keller, Manuel Garcia-Rulfo",7.5,14,ABD
Kara Cuma,Thanksgiving,"Korku, Gerilim, Gizem",Eli Roth,12/1/2023,"31,575","3,900,013","Eli Roth, Jeff Rendell, Roger Birnbaum","Milo Manheim, Gina Gershon, Patrick Dempsey",6.3,4,ABD
Zir-i Cin 2,,Korku,Burak Küçük,11/3/2023,"31,036","3,077,713",HM Productions,"Ekrem Kayhan, Feyza Ayan, Tahsin Macit",4.8,4,Türkiye
Kare Takımı: Gizemli Ada,,Animasyon,Orhan Bal,9/29/2023,"30,835","2,736,648",Düşlerevi Çizgi Film Atölyesi,"Elif Erdal, Çağıl Özdemir , Savaş Pat",3.2,13,Türkiye
Hypnotic: Zihin Avı,Hypnotic,"Gerilim, Aksiyon, Gizem",Robert Rodriguez,6/2/2023,"29,793","2,854,615","Robert Rodriguez, Racer Rodríguez, Mark Gill","Ben Affleck, Alice Braga, JD Pardo",5.5,4,ABD
80 Günde Devri Alem,"Le tour du monde en 80 jours, Around the World in 80 Days",Animasyon,Samuel Tourneux,6/9/2023,"29,108","2,257,093","Mike Todd, Kevin McClory, William Cameron Menzies","Jackie Chan, Steve Coogan, Cécile de France",4.7,5,"Belçika, Fransa"
Maske: Nezaketle Tebessüm,,Gizem,Berker Berki,6/9/2023,"27,439","1,222,998",Satre Film,"Kaan Turgut, Nilay Deniz, Mert Turak",7.7,4,Türkiye
Sağ Salim 3: Ölü ya da Diri,,Komedi,Ersoy Güler,12/22/2023,"32,847","3,711,358","PRT Films, Komedram","Toygan Avanoğlu, Hüseyin Avni Danyal, Pelin Orhuner",7.9,4,Türkiye
The Boogeyman,,"Korku, Gerilim, Gizem",Rob Savage,6/2/2023,"23,174","2,060,423","Dan Cohen (II), Dan Levine, Shawn Levy","Chris Messina, Sophie Thatcher, David Dastmalchian",5.9,4,ABD
Taylor Swift: The Eras Tour,,"Konser, Müzik",Sam Wrench,11/3/2023,"22,998","5,057,785","Taylor Swift, Sam Wrench",Taylor Swift,8.1,3,ABD
Ammar 4: Cin Kavmi,,Korku,Uğur Kaplan,9/22/2023,"22,433","2,133,496","BMS Film, Film Fabrikası","Muhammed Genç, Burcu Orhan, Sanaz Nazarı",2.7,3,Türkiye
Cin Sureti,,"Korku, Gerilim",Burak Küçük,2/24/2023,"21,215","1,405,686",Bircan Film,"Burak Küçük, Ogan Şenyolcu, Mustafa Kavalcı",4.8,2,Türkiye
Rubinin Ailesi,"Bait El Ruby, El Ruby House","Komedi, Dram",Peter Mimi,8/4/2023,"20,888","2,244,186","Tamer Morsi, Ahmed Badawy","Karim Abdel Aziz, Kareem Mahmoud Abdel Aziz, Nour",6.7,7,Mısır
Kırmızı Başlıklı Kız ve Bizim Kahramanlar,,Animasyon,Erhan Yiğit,2/17/2023,"20,690","1,340,027",Cinephone,"Emma Stone, Mark Ruffalo, Willem Dafoe",4.2,5,Türkiye
Ecinni 4: Ecel,,Korku,Mehmet Sağlam,3/31/2023,"20,386","1,411,185",Sağlam Film,"Merve Ateş, Fatih Paşalı, Yasemin Kurttekin",4.7,11,Türkiye
Asteroit Şehir,Asteroid City,"Komedi, Romantik",Wes Anderson,6/16/2023,"20,160","2,039,066","Roman Coppola, Henning Molfenter, Carl Woebcken","Tom Hanks, Scarlett Johansson, Tilda Swinton",6.5,9,ABD
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,,"Macera, Animasyon, Aksiyon",Haruo Sotozaki,3/24/2023,"18,757","1,561,240","Yūma Takahashi, Akifumi Fujio","Toshio Furukawa, Natsuki Hanae, Kana Hanazawa",7.5,3,Japonya
Kahraman Yarışçılar,Rally Road Racers,"Komedi, Animasyon, Aile",Ross Venokur,8/18/2023,"18,384","1,773,039","John H. Williams, Deepak Nayar, Nik Bower","Scott Chambers (IV), Ryan Oliva, Tallulah Evans",5.2,8,ABD
Hayaller Ülkesi: Gizemli Macera,The Wishmas Tree,Animasyon,Ricard Cussó,3/10/2023,"18,148","1,228,819","Kristen Souvlis, Nadine Bates","Miranda Tapsell, Miranda Tapsell, Ross Noble",4.8,7,Avustralya
Zuhur: Cinn-i Ayin,,Korku,Mert Uzunmehmet,10/13/2023,"17,511","1,599,196",Apollon Film,"Erol Sertel, Larissa Lara Türközer, Sinem Yalçın",2.5,5,Türkiye
Perili Köşk,Haunted Mansion,"Komedi, Aile, Dram",Justin Simien,8/11/2023,"17,264","1,597,547","Jonathan Eirich, Dan Lin","Jamie Lee Curtis, Owen Wilson, Rosario Dawson",6.0,3,ABD
Orman Çetesi: Dünya Turu,"Les As de la Jungle 2, The Jungle Bunch: World Tour",Animasyon,"Laurent Bru, Yannick Moulin, Benoît Somville",12/22/2023,"31,723","3,464,936",Jean-François Tosti,"Philippe Bozo, Laurent Morteau, Pascal Casanova",5.7,14,Fransa
Yumurtalar Firarda: Afrika Macerası,"Un rescate de huevitos, Little Eggs: An African Rescue","Macera, Komedi, Animasyon","Rodolfo Riva Palacio Alatriste, Gabriel Riva Palacio Alatriste",8/11/2023,"17,155","1,618,071","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste, Ignacio Martínez Casares","Sébastien Hebrant, Mayra Adela Rojas, Maia Baran",5.1,5,Meksika
Hayalimdeki Düğün,Shotgun Wedding,"Komedi, Aksiyon, Romantik",Jason Moore,12/30/2022,"17,084","1,327,834","David Hoberman, Todd Lieberman, Jennifer Lopez","Jennifer Lopez, Josh Duhamel, Lenny Kravitz",5.5,2,ABD
Karanlık Gece,,"Gerilim, Dram, Suç",Özcan Alper,4/28/2023,"16,876","1,375,584","Nar Film, BKM, Baykuş Yapım","Berkay Ateş, Sibel Kekilli, Cem Yiğit Üzümoğlu",6.9,15,Türkiye
Cinnas,,Korku,Elvin Abdulla,7/14/2023,"16,557","1,308,012",Elvin Abdulla,"Hikmet Rehimov, Pervin Abıyeva, Zemfira Abdulsamedova",6.2,7,Azerbeycan
Bak Şu Leyleğe 2: Zümrüt Taşının Peşinde,Richard the Stork and the Mystery of the Great Jewel,"Macera, Animasyon, Aile","Mette Tange, Benjamin Quabeck",10/13/2023,"16,875","1,683,010","Kristine Knudsen, Maria Ekerhovd, David Claikens","Jay Myers, Jonathan Failla, Jeffrey Hylton",5.1,7,"Almanya, Belçika, Norveç"
Efsunlu 3: Muska,,"Korku, Gerilim",Uğur Kaplan,8/25/2023,"16,541","1,530,515",Cinephone,"Eylül Ezgi Yılmaz, Serhat Üstündağ, Berke Mehmet Korkmaz",4.6,4,Türkiye
Mia ve Ben: Centopia'nın Kahramanı,Mia and Me: The Hero of Centopia,"Macera, Animasyon, Aile",Adam Gunn,6/9/2023,"15,728","1,285,219","Thorsten Wegener, Tracy Lenon","Margot Nuccetelli, François Goeske, Santiago Ziesmer",6.1,6,"Almanya, Avustralya, Belçika, Hindistan"
Kaptan Porsuk Kayıp Hazinenin Peşinde,"Knutsen & Ludvigsen 2 - Det store dyret, Two Buddies and a Badger: The Great Big Beast","Komedi, Animasyon","Rune Spaans, Gunhild Enger",3/3/2023,"15,611","1,093,612","Ingunn Sundelin, Eric Vogel, Olav Mellgren","Levent Kol, Yağmur Sergen, Hakan Coşar",5.8,8,Norveç
Suzume,Suzume no tojimari,"Macera, Animasyon, Aksiyon",Makoto Shinkai,5/26/2023,"15,555","1,456,798","Kōichirō Itō, Genki Kawamura, Wakana Okamura","Scott Chambers (IV), Ryan Oliva, Tallulah Evans",7.6,9,Japonya
Büyü de Gel,No Hard Feelings,Komedi,Gene Stupnitsky,6/23/2023,"14,885","1,557,045","Alex Saks, Naomi Odenkirk, Marc Provissiero","Jennifer Lawrence, Andrew Barth Feldman, Matthew Broderick",6.4,4,ABD
Aşkın Saati 19:03,,Komedi,Hasan Gümet,5/5/2023,"14,462","1,170,679",Sowa Yapım,"Berat Efe Parlar, Feride Hilal Akın, Ali Sürmeli",6.0,3,Türkiye
Vatikan'ın Şifresi: Bir Temel Macerası,,Komedi,Okan Ege Ergüven,11/10/2023,"14,281","1,470,868",Eser Yapım,"Reşat Hacıahmetoğlu, Edanur Hancı, Ömür Arpacı",3.4,5,Türkiye
Cenazemize Hoş Geldiniz,,Komedi,Neslihan Yeşilyurt,12/22/2023,"14,586","1,736,369","Medyapım, Ay Yapım","Gonca Vuslateri, Erkan Can, İsmail Ege Şaşmaz",5.5,3,Türkiye
Güven Bana,,"Komedi, Aksiyon",Selçuk Aydemir,10/13/2023,"13,703","1,375,211",Aytaç Medya,"Cihangir Ceyhan, Ufuk Bayraktar, Okan Cabalar",4.2,3,Türkiye
Öldüren Oyun,The Friendship Game,"Korku, Gerilim, Bilim-Kurgu",Scooter Corkle,3/31/2023,"13,688","1,016,048",Daniel Bekerman,"Peyton List, Brendan Meyer, Kelcey Mawema",3.2,4,Kanada
Elleville Elfrid,Ella Bella Bingo,Animasyon,"Atle Solberg Blakseth, Frank Mosvold",5/5/2023,"13,617","1,135,943","Frank Mosvold, Atle S. Blakseth","Johannes Joner, Gard B. Eidsvold,Hege Schøyen",4.8,6,Norveç
Sur'da Devran,,Komedi,Haşim Aydemir,10/13/2023,"13,614","1,187,583",La Film Prodüksiyon,"Mustafa Yalçın, Ahmet Baran Bozboğa, Savaş Damla",7.0,5,Türkiye
Ölümüne Aşk,,Komedi,Okan Ege Ergüven,9/1/2023,"13,534","1,158,324",Eser Yapım,"Murat Akkoyunlu, Fulya Zenginer, Ayten Uncuoğlu",2.4,3,Türkiye
İblis Karanlığın Sahibi 2,,Korku,Berk Aygül,6/9/2023,"13,383","1,086,009",Pratik Film,"Savaş Özkul, Öznur Kütük, Gizem Akgün",4.2,4,Türkiye
Bir Düşüşün Anatomisi,"Anatomie d'une chute, Anatomy of a Fall","Gerilim, Dram, Suç",Justine Triet,11/3/2023,"28,304","3,470,082","Marie-Ange Luciani, David Thion","Sandra Hüller, Samuel Theis, Swann Arlaud",7.7,21,Fransa
Dabbetü'l-Arz: Kıyamet,,Korku,Gökhan Arı,9/1/2023,"13,165","1,236,482",Matine Film,"Bertan Dirikolu, Taner Şahin, Mehmet Sabri Arafatoğlu",3.8,3,Türkiye
Yıldız Tozu,,"Aile, Dram",Ahmet Sönmez,9/22/2023,"13,285","924,018","Sinehane, 24 Kare Film","Süleyman Biçen, Berat Çağan, Toprak Can Adıgüzel",7.6,11,Türkiye
Küçük Allen ve Galaksi Yolcusu,"Lille Allan - den menneskelige antenne, The Little Alien","Macera, Animasyon, Aile",Amalie Næsby Fick,9/8/2023,"12,940","1,294,265","Trine Heidegaard, Thomas Heinesen","Emma Stone, Mark Ruffalo, Willem Dafoe",5.5,3,Danimarka
Araf 6: Ölüm,,Korku,"Tarık Karakulak, Biray Dalkıran",5/19/2023,"12,646","951,603","RN Yapım, DFGS","Gökhan Eryılmaz, Esenay Kılıç, Ekin İlkim",2.8,3,Türkiye
Semur 4: Mahşer,,Korku,Hakkı Kaplan,7/14/2023,"12,546","1,156,509",BMS Film,"Fırat Çöloğlu, Merve Özel, Alara Kuru",2.7,3,Türkiye
Prenses ve Dracula,"Koshchey. Pokhititel nevest, How to Save the Immortal",Animasyon,Roman Artemyev,7/21/2023,"12,319","1,086,493","Vadim Sotskov, Sergey Zernov, Sergey Selyanov","Scott Chambers (IV), Ryan Oliva, Tallulah Evans",5.2,3,"Macaristan, Rusya"
Her Şey Aşk İçin,,Komedi,Ahmet Kapucu,10/20/2023,"12,304","1,296,083","Sky Film Yapım, 2518 Film Yapım","Safa Sarı, Zafer Algöz, Gizem Sevim",4.3,2,Türkiye
Cin Büyüsü,,Korku,Batuhan Çelik,3/17/2023,"12,220","857,745",Karavan Film,"Gizem Ayten, Ahmet Eymen Akyüz, Bahar Cemre Sarıkaya",4.1,6,Türkiye
Örümcek Ağı,Cobweb,"Korku, Gerilim",Samuel Bodin,7/28/2023,"12,200","1,194,671","Seth Rogen, Roy Lee, Evan Goldberg","Lizzy Caplan, Antony Starr, Cleopatra Coleman",6.0,2,ABD
Conjuring: Şeytan Ayini,Conjuring: The Beyond,"Korku, Dram, Gizem",Calvin Morie McCarthy,5/26/2023,"12,155","1,054,014","Chad Buffett , Lea Buffett","Victoria Grace Borrello, Steve Larkin, Jon Meggison",2.3,3,ABD
Ehl-i Cin: İntikam,,Korku,Batuhan Çelik,8/11/2023,"12,068","1,052,092",EN Sinema,"Beyza Nur Önispir, Kerem Can Karaoğlu, Merve Erçel",4.6,6,Türkiye
Çılgın Dostum Finnik,Finnick,"Macera, Animasyon",Denis Chernov,7/14/2023,"12,614","1,138,143",Elena Chirkova,"Aleksandr Gudkov, Mikhail Khrustalyov",5.8,13,Rusya
Büyük Macera: Hazine Peşinde,,Aile,Ahmet Toklu,4/28/2023,"11,600","916,805",No:23 Prodüksiyon,"Emir Ali Doğrul, Muharrem Türkseven, Güzin Usta",5.5,4,Türkiye
Kediler Müzede,"Koty Ermitazha, Cats in the Museum","Macera, Animasyon, Aile",Vasiliy Rovenskiy,12/15/2023,"12,767","1,528,934","Vasiliy Rovenskiy, Roman Borisevich, Maxim Rogalsky","Anton Eldarov, Polina Gagarina, Aleksandr Gavrilin",4.7,8,Rusya
Karabasan,"Marerittet, Nightmare","Korku, Gerilim",Kjersti Helen Rasmussen,5/12/2023,"11,491","910,932","Einar Loftesnes, John Einar Hagen","Eili Harboe, Herman Tømmeraas, Dennis Storhøi",5.1,8,Norveç
After: Her Şey,After: Everything,"Dram, Romantik",Castille Landon,9/15/2023,"11,326","1,093,869","Hero Fiennes Tiffin, Brian Pitt, Courtney Solomon","Josephine Langford, Hero Fiennes Tiffin, Stephen Moyer",4.7,4,ABD
Kar ve Ayı,,Dram,Selcen Ergun,9/8/2023,"11,231","1,136,843",Nefes Films,"Merve Dizdar, Saygın Soysal, Erkan Bektaş",6.6,8,Türkiye
Renfield,,"Korku, Komedi",Chris McKay,4/14/2023,"11,154","990,197","Chris McKay, Robert Kirkman, Samantha Nisenboim","Nicholas Hoult, Nicolas Cage, Awkwafina",6.4,3,ABD
Uzay Köpekleri,Space Pups,"Macera, Bilim-Kurgu, Aile",Jason Murphy,8/25/2023,"11,063","1,033,137","Mark Boot, Kenny Beaumont, Eli Lipnik","Myron Donley, Riley Madison Fuller, Elijah Green",5.0,3,ABD
Drakula: Son Yolculuk,The Last Voyage of the Demeter,"Korku, Gerilim",André Øvredal,8/25/2023,"11,048","1,155,051","Brad Fischer, Mike Medavoy, Arnold Messer","Corey Hawkins, David Dastmalchian, Aisling Franciosi",6.1,3,ABD
Tatlı Bela,Beautiful Disaster,"Komedi, Dram, Romantik",Roger Kumble,5/5/2023,"11,021","1,005,934","Roger Kumble, Brian Pitt, Nicolas Chartier","Virginia Gardner, Autumn Reeser, Dylan Sprouse",5.3,6,ABD
Başka Bir Hayatta,Past Lives,"Dram, Romantik",Celine Song,12/8/2023,"11,236","1,567,845","David Hinojosa, Christine Vachon, Pamela Koffler","Greta Lee, Teo Yoo, John Magaro",7.9,8,"ABD, Güney Kore"
Kadınlara Mahsus,,"Dram, Romantik",Serdar Akar,12/22/2023,"10,411","1,339,546",Limit Yapım,"Melisa Aslı Pamuk, Ceyda Düvenci, Aslı Tandoğan",8.5,3,Türkiye
Kalp Estetiği,,"Komedi, Romantik",Haydar Işık,9/29/2023,"9,683","915,694",CMP Prodüksiyon,"Evliya Aykan, Ersin Korkut, Müge Boz",7.6,3,Türkiye
Bıcırıklar: Yeni Yuvamız,"Die Mucklas... und wie sie zu Pettersson und Findus kamen, The Muckles: The Quest for a New Home","Macera, Animasyon, Aile","Ali Samadi Ahadi, Markus Dietrich",8/11/2023,"9,433","815,929",SOLA MEDIA GMBH,"Uwe Ochsenknecht, ChrisTine Urspruch, André Jung",4.2,14,Almanya
Ölümcül Çarpışma,"Hidden Strike, Snafu","Gerilim, Aksiyon",Scott Waugh,7/7/2023,"9,018","838,833","Jackie Chan, Hans Canosa, Esmond Ren","Jackie Chan, John Cena, Pilou Asbæk",5.3,3,"ABD, Çin"
Lanetli Kan,Blood,"Korku, Gerilim",Brad Anderson,5/12/2023,"8,715","744,768","Michelle Monaghan, Skeet Ulrich, Finlay Wojtak-Hissong","Michelle Monaghan, Skeet Ulrich, Finlay Wojtak-Hissong",5.5,4,ABD
Yaşamak,Living,Dram,Oliver Hermanus,3/3/2023,"8,707","647,409","Elizabeth Karlsen , Stephen Woolley","Bill Nighy, Aimee Lou Wood, Alex Sharp",7.2,15,"Birleşik Krallık, İsveç, Japonya"
Neşeli Çiftlik: Tren Kalkıyor!,A Mystery on the Cattle Hill Express,Animasyon,Will Ashurst,5/12/2023,"8,673","658,857","Qvisten Animation, In The Air"," Scott Chambers (IV), Ryan Oliva, Tallulah Evans",5.2,7,Norveç
Hayalet Suikastçi,Assassin,"Gerilim, Suç, Aksiyon",Jesse Atlas,4/7/2023,"8,571","700,985","Alexander Eckert , Jeff Elliott , Najeeb Khuda","Bruce Willis, Dominic Purcell, Nomzamo Mbatha",3.2,3,ABD
Lilith Cinleri,,Korku,Özlem Yeşilyurt,7/28/2023,"8,486","764,732",Mert Yapım Medya,"Pınar Demiral, Berkant Aksoy, Furkan Avcı",3.1,2,Türkiye
Haris,,Korku,Kadir Genç,3/17/2023,"8,335","563,964",Apah Yapım,"Mesut Gedikoğlu, Hasret Yılmaz, Sinem Can Aksu",3.0,3,Türkiye
Ne Olacak Halim?,,"Komedi, Aile, Romantik",Semra Dündar,3/10/2023,"8,188","568,246",Karataş Film Yapım,"Emre Altuğ, Algı Eke, Lemi Filozof",4.9,4,Türkiye
Zina,,Korku,Anastasiya Budakva,11/24/2023,"7,823","868,557",Mert Yapım Medya,"Sema Bolat, Yağmur Tazegül, Tuğba Aydın",2.8,4,Türkiye
Pinkfong: Baby Shark,Pinkfong Sing-Along Movie 2: Wonderstar Concert,"Animasyon, Müzik",Sukyoung Kim,3/10/2023,"7,610","542,430",THE PİNKFONG COMPANY INC,"Lexi Fontaine, Larissa Gallagher, Kyle McCarley",4.6,9,Güney Kore
