Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Pathaan,,"Gerilim, Dram, Aksiyon",Siddharth Anand,3/3/2023,"7,571","575,395","Aditya Chopra, Maxim Ajjawi","Shah Rukh Khan, Deepika Padukone, John Abraham",5.8,2,Hindistan
Lamborghini: Efsanenin Arkasındaki Adam,Lamborghini: The Man Behind the Legend,"Dram, Biyografi, Spor",Bobby Moresco,2/24/2023,"7,401","717,178","Andrea Iervolino, Monika Bacardi, Allen Dam","Frank Grillo, Mira Sorvino, Gabriel Byrne",5.4,2,"ABD, İtalya"
Oregon,,"Komedi, Dram",Kerem Ayan,4/28/2023,"7,323","599,894",NuLook Production,"Aslı İnandık, Serkan Çayoglu, Ferit Aktuğ",4.6,4,Türkiye
Kayıp,Missing,"Gerilim, Dram","Will Merrick, Nicholas D. Johnson",3/31/2023,"7,319","598,714","Aneesh Chaganty, Sev Ohanian, Timur Bekmambetov","Storm Reid, Nia Long, Daniel Henney",7.1,3,ABD
Zıpır Dedektif ve Altın Arı Kovanı,"Chink: Khostatiy detektiv, Detective Chirp and the Golden Beehive","Macera, Animasyon, Aile",Grigoriy Vozhakin,7/21/2023,"7,055","624,418","Yuliana Slashcheva, Sergey Demchev","Ivan Chaban, Evelina Blyodans, Miroslava Karpovich",5.4,6,Rusya
Ferrari,,"Dram, Tarihi, Biyografi",Michael Mann,12/22/2023,"7,838","1,319,410","Mohammed Al Turki, Vahan Yepremyan","Adam Driver, Penélope Cruz, Shailene Woodley",6.5,3,ABD
Kral Fil,The Elephant King,"Macera, Komedi, Animasyon",Hadi Mohammadian,12/15/2023,"6,862","757,710",MEEM PRODUCTION S.A.R.L.,"Hamed Azizi, Georges Khabbaz, Bahman Hashemi",4.7,4,"İran, Lübnan, Malezya"
Mühr-ü Musallat 2: Yasak Düğün,,Koku,Metin Kuru,7/21/2023,"6,736","580,549","Mutluluk Fabrikası, Mag Film","Merve Kurç, Nevzat Can Rüzgar, Ufuk Kaplan",4.2,3,Türkiye
Simülasyon,Simulant,"Gerilim, Bilim-Kurgu",April Mullen,4/7/2023,"6,640","630,354","Tim Doiron,  James van der Woerd","Robbie Amell, Jordana Brewster, Simu Liu",5.2,2,Kanada
"Masal Zamanı 2 ""Sihirli Kapı""",,"Macera, Aile",Kubilay Güleçoğlu,10/6/2023,"6,612","705,381",Two Yapım,"Lavinya Ünlüer, Ata Berk Mutlu, Özkan Sağın",3.3,3,Türkiye
Roza,,Dram,Mustafa Kotan,10/6/2023,"6,428","615,180",Akiz Yapım,"Belçim Bilgin, Burak Sevinç, Fikret Kuşkan",3.4,4,Türkiye
Benim Babam Bir Kahraman,,"Aile, Dram",Orçun Benli,6/16/2023,"6,364","531,616",Cocoon Medya,"Ufuk Bayraktar, Mahir İpek, Selim Erdoğan",7.2,2,Türkiye
Havas İlm-i Cin,,"Korku, Gerilim",Hasan Gökalp,8/18/2023,"6,205","595,658","İgamedya Yayıncılık, FK Productions","Fırat Kahraman, Elif Çapkın, Seda Keskol",5.4,2,Türkiye
Resif: Kanlı Takip,The Reef: Stalked,"Korku, Gerilim",Andrew Traucki,7/14/2023,"6,178","581,140","Jack Christian, Neal Kingston, Michael Robertson","Teressa Liane, Ann Truong, Kate Lister",4.1,4,"ABD, Avustralya"
Sessiz Kabus,Sound of Silence,Korku,"Alessandro Antonaci, Daniel Lascar, Stefano Mandalà",8/11/2023,"6,134","592,355","Alessandro Antonaci , Daniel Lasca","Lucia Caporaso, Chiara Casolari, Micol Damilano",4.0,3,İtalya
Hadi Hayırlısı: Istakoz'un Haritası,,Komedi,Şiar Zaim,4/14/2023,"6,114","352,841",Willer Film,"Cengiz Küçükayvaz, Hakan Bilgin, Bülent Çolak",7.0,4,Türkiye
Eyvah Babam,About My Father,Komedi,Laura Terruso,6/2/2023,"6,090","616,625","Andrew Miano , Paul Weitz , Chris Weitz ","Robert De Niro, Kim Cattrall, Leslie Bibb",5.7,3,ABD
Kocamı Kim Öldürür?,,Komedi,Bilal Kalyoncu,9/22/2023,"5,753","536,156",2506,"Aleyna Solaker, Burak Satıbol, Hayrettin",3.1,2,Türkiye
Cin Hikayeleri Kayıp Bebek,,Korku,Kemal Danacı,5/26/2023,"5,683","432,449",Mil Yapım,"Erol Sertel, Zeynep Er, Efekan Güner",4.7,4,Türkiye
Bataklık,Quicksand,Gerilim,Andres Beltran,8/18/2023,"5,648","526,548","Sean Patrick Burke, Jason Cherubini, Nicolas Reyes","Carolina Gaitan, Allan Hawco, Sebastian Eslava",4.3,4,Kolombiya
Tebessüm,,"Komedi, Dram","Sezgin Cengiz, Şiyar Gedik",6/23/2023,"5,621","453,553","Su Yapım, Avcı Film Yapım","Onur Buldu, Adem Tosun, Seda Türkmen",5.4,14,Türkiye
Tek Yürek İmalat-ı Harbiye,,"Tarihi, Spor",Serdar Çetinkaya,3/10/2023,"5,556","395,746","Clean B. Film, Serçe Yapım, AKS Medya","urgay Tanülkü, İnanç Konukçu, Sitare Akbaş",7.9,4,Türkiye
Orman Çocuğu: Güç Uyanıyor,The Awakening of the Mini World,Animasyon,Xuhui Xing,8/4/2023,"5,330","484,548","Mini Creation Technology, Shenzhen Xingtiao Cultural and Creative",Tom CoetzeeJonah DollerySophie Kirsch,5.6,2,Çin
Şeytanın Elçileri,,Korku,Özlem Yeşilyurt,9/8/2023,"5,245","485,630",Mert Yapım Medya,"Atilla Karahan, Cemre Yalçın, Yağmur Yenice",2.6,2,Türkiye
Afacanlar İş Başında,Two Little Toddlers: An Unforgettable Day,Animasyon,Wip Vernooij,6/23/2023,"5,244","453,551","Bruno Felix, Denis Wigman, Marijn Wigman","Manou Jue Cardoso, Ronnie Flex, Chantal Janzen",6.7,3,Hollanda
Çaykovski'nin Karısı,Tchaikovsky's Wife,"Dram, Biyografi",Kirill Serebrennikov,3/31/2023,"5,057","367,764","Andreas Roald , Olivier Père","Alyona Mikhailova, Odin Lund Biron, Miron Fedorov",6.5,8,"Fransa, İsviçre, Rusya"
Fındıkkıran ve Sihirli Flüt,The Nutcracker and the Magic Flute,"Animasyon, Aile, Fantastik",Viktor Glukhushin,3/3/2023,"5,025","336,839","Sergey Selyanov, Georgi Gitis","Lyubov Aksyonova ,Prokhor Chekhovskoy, Aleksey Chumakov",5.2,4,Rusya
Büyülü Kahramanlar: Büyük Macera,"Koshchey: Nachalo, The Everlasting Story","Macera, Animasyon",Andrey Kolpin,8/18/2023,"4,944","443,589","Robert Gndolyan,  Tatyana Tsyvareva,  Yevgeny Golovin","Nikita Volkov,  Irina Starshenbaum, Timur Rodriguez",5.6,4,Rusya
Jeanne du Barry,Jeanne du Barry,"Dram, Tarihi, Biyografi",Maiwenn,12/8/2023,"5,288","697,702","Maïwenn,  Pascal Caucheteux, Gregoire Sorlat","Maïwenn,  Johnny Depp, Benjamin Lavernhe",6.7,6,Fransa
Uçuş 811,,"Gerilim, Dram",Hakan Kerim Karademir,3/10/2023,"4,697","354,032","35 mm, HKF Productions, Ilgaz Film","Burcu Kara, Emre Karayel, Yosi Mizrahi",4.5,2,Türkiye
Geri Sayım,,Aksiyon,Aykut Taşkın,6/30/2023,"4,592","395,535","Diopter Film, Metropol Yapım","Veysel Demir, Metin Pıhlıs, Hilmi Deler",8.1,2,Türkiye
Jester: İntikam Gecesi,The Jester,Korku,Colin Krawchuk,10/6/2023,"4,475","486,334"," Brian Clarke ,","Ken Arnold, Matt Servitto, Lelia Symington",4.1,1,ABD
Çıldırmış Ayı,Cocaine Bear,Gerilim,Elizabeth Banks,3/31/2023,"4,432","391,063","Phil Lord,  Christopher Miller, Elizabeth Banks","Keri Russell, Ray Liotta, Ayoola Smart",5.9,3,ABD
Sırrı Cin,,Korku,Uğur Karakuzu,5/12/2023,"4,362","340,316",Diopter Film,"Zöhre Alsan, Leyla Parlak, Serkan Güney",4.0,2,Türkiye
Serçenin Gözyaşı,,Dram,Aysun Akyüz Mehdiabbas,3/8/2024,"8,903","767,220",Reborn Yapım,"Ezgi Şenler, Uğur Güneş, Yeşim Salkım",5.6,4,Türkiye
Gerçek Cinler 2,,Korku,Onur Aldoğan,3/24/2023,"4,283","314,622",Onn Medya,"Gizem Noyan, Lara Fandaklı, Onur Aldoğan",3.0,4,Türkiye
Sessiz Gece,Silent Night,Aksiyon,John Woo,12/8/2023,"4,206","500,191","Celine Rattray, Trudie Styler, Matthew Vaughn","Joel Kinnaman, Catalina Sandino Moreno, Kid Cudi",5.3,3,ABD
Sessiz Kız,The Quiet Girl,Dram,Colm Bairéad,3/10/2023,"4,157","269,364",Colm Bairéad,"Carrie Crowley, Andrew Bennett, Catherine Clinch",7.7,9,İrlanda
Şeytan Uykuda,Don't Come Back Alive,"Korku, Gerilim, Gizem",Néstor Sánchez Sotelo,6/30/2023,"4,140","389,101",Néstor Sánchez Sotelo,"María Abadi, Jorge Booth, Marco de la O",3.8,2,Arjantin
Nefes Alma,Old Man,Gerilim,Lucky McKee,8/4/2023,"3,929","428,025","Marc Senter, Ashleigh Snead, Cameron Burns, ","Stephen Lang, Marc Senter, Patch Darragh",4.9,2,ABD
Bonibomlar: Kediler Peşimizde,Barkers: Mind the Cats!,Animasyon,Elena Galdobina,7/7/2023,"3,506","319,563",ALEKSANDR BOYARSKİY,"Samantha Cooper, Courtney Shaw",5.3,2,Rusya
Çılgın Yarışçılar,Crazy Racing,Animasyon,Zhu Guo-Yang,5/19/2023,"3,894","318,242", Fantawild Animation,"Jialin Ye, Jishang Luo, Priscilla Li, ",4.2,5,Çin
"Belki Evet, Belki Hayır",Maybe I Do,Komedi,Michael Jacobs,3/31/2023,"3,831","375,016","Vincent Newman, Michael Jacobs, Scott Mednick","Emma Roberts, Susan Sarandon, Richard Gere",5.0,10,ABD
Melanet,,Korku,Kemal Danacı,9/29/2023,"3,810","364,863",Mil Yapım,"Erol Sertel, Zeynep Er, Emrah Yardımcı",5.8,2,Türkiye
İfrit-i Musallat,,Korku,Raziye Sultan,8/18/2023,"3,779","359,969","Gris Production, ANL Yapım","Emre Çelik, Alara Kuru, Taylan Tekci",2.7,2,Türkiye
Büyük Felaket: Asit Yağmuru,Acide,"Gerilim, Bilim-Kurgu, Fantastik, Dram",Just Philippot,9/22/2023,"3,766","393,881","Jérôme Seydoux , Yves Darondeau.","Guillaume Canet, Laetitia Dosch, Patience Munchenbach",5.2,1,Fransa
Oda,,"Korku, Gerilim",Bülent Orçin,8/11/2023,"3,752","347,789",Orçin Yapım,"Ceren Gülşah Elmalı, Mustafa Zeren, Nesrin Tunç",7.3,3,Türkiye
Korkuyorum,Beau is Afraid,"Komedi, Dram, Gizem",Ari Aster,6/9/2023,"3,481","342,237",Lars Knudsen,"Joaquin Phoenix, Parker Posey, Amy Ryan",6.7,7,"ABD, Finlandiya, Kanada"
Koku,,Dram,"Barış Gördağ, Yasin Çetin",5/12/2023,"3,640","247,881",Zeytin Film,"Nergis Öztürk, Yunus Emre Yıldırımer, Mehlika Buğlem Kılıç",6.0,17,Türkiye
Bonibomlar: Kediler Peşimizde,Barkers: Mind the Cats!,Animasyon,Elena Galdobina,7/7/2023,"3,506","319,563","Aleksandr Boyarskiy, Sergey Selyanov",Courtney Shaw,5.3,2,Rusya
Korkuyorum,Beau is Afraid,"Komedi, Dram, Gizem",Ari Aster,6/9/2023,"3,481","342,237","Ari Aster, Lars Knudsen","Joaquin Phoenix, Parker Posey, Amy Ryan",6.7,7,"ABD, Finlandiya, Kanada"
Cin Gelini,,Korku,Kadir Ergin,11/17/2023,"3,483","331,227",Makinist Film,"Hazal Pekgöz, İlayda Esmer, Kuntberk Alptemoçin",6.9,7,Türkiye
Silüet: Bir Yılbaşı Kabusu,,Korku,Buğra Kekik,9/15/2023,"3,173","293,071",Meda Film Yapım,"Yağmur Demircioğlu, Gülşah Büktür, Tuncay Gençkalan",4.8,2,Türkiye
Dali Diyarı,Daliland,"Dram, Biyografi",Mary Harron,6/2/2023,"3,091","312,721",Charlotte Colbert,"Ben Kingsley, Barbara Sukowa, Ezra Miller",5.9,11,"ABD, Birleşik Krallık, Fransa"
Şüphe,The Kindred,Gerilim,Jamie Patterson,5/5/2023,"3,007","237,450","Tracy Jarvis, Stephen Jarvis","Samantha Bond, Patrick Bergin, James Cosmo",4.7,2,Birleşik Krallık
Kızıl Gökyüzü,"Roter Himmel, Afire","Komedi, Dram, Romantik",Christian Petzold,11/24/2023,"2,965","343,225","Anton Kaiser, Florian Koerner von Gustorf, Michael Weber","Thomas Schubert, Paula Beer, Enno Trebs",7.2,4,Almanya
Katili Yakalamak,"Misanthrope, To Catch a Killer","Dram, Suç, Aksiyon, Gizem",Damián Szifrón,8/25/2023,"2,890","322,092","Shailene Woodley, Damián Szifron, Aaron Ryder","Shailene Woodley, Ben Mendelsohn, Ralph Ineson",6.6,3,ABD
Ela ile Hilmi ve Ali,,Dram,Ziya Demirel,4/14/2023,"2,886","196,578",İstos Film,"Ece Yüksel, Serkan Keskin, Denizhan Akbaba",5.6,6,Türkiye
Ölümcül Dalış,The Dive,Gerilim,Maximilian Erlenwein,9/22/2023,"2,852","305,710","Maximilian Leo, Jonas Katzenstein","Louisa Krause, Sophie Lowe",5.5,1,Almanya
Suikastçılar,The Collective,Aksiyon,Tom DeNucci,8/18/2023,"2,851","303,467","Jordan Beckerman, Jordan Yale Levine, Richard Switzer","Ruby Rose, Don Johnson, Lucas Till",3.2,1,ABD
Suç Bende,"Mon Crime, My Crime","Komedi, Dram, Suç",François Ozon,5/5/2023,"2,794","196,672","Eric Altmeyer, Nicolas Altmeyer","Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert",6.5,10,Fransa
Tanrının Yarattıkları,God's Creatures,Dram,"Anna Rose Holmer, Saela Davis",4/21/2023,"2,787","183,819",Fodhla Cronin O'Reilly,"Emily Watson, Paul Mescal, Aisling Franciosi",6.0,6,"ABD, Birleşik Krallık, İrlanda"
Dikkat Köpek Var,,"Komedi, Aile","Ece İşbilen Dağ, Deniz Cem Dağ",12/30/2022,"2,769","155,443",Nussi Production,"Nusret Toplar, Mutlu Güney, Güney Kılınç",7.6,1,Türkiye
Louis Tomlinson: All of Those Voices,,"Belgesel, Müzik",Charlie Lightening,3/22/2023,"2,718","222,778",Charlie Lightening,"Louis Tomlinson, Isaac Anderson, Steve Aoki",8.7,1,Birleşik Krallık
İşaretliler: Kurban,,Korku,Bülent Terzioğlu,5/26/2023,"2,712","180,094",EMN Yapım,"Yıldız Ustabaş, İpek Tenolcay, Muhammed Cangören",7.2,3,Türkiye
Kuralsızlar,"Beomjoidosi 2, The Roundup","Gerilim, Suç, Aksiyon",Sang-yong Lee,4/28/2023,"2,621","247,594","Ma Dong-seok , Hong-baek Kim , Tri Thao Nguyen","Ma Dong-seok, Sukku Son, Gwi Hwa Choi",7.0,2,Güney Kore
Metruk,,"Gerilim, Bilim-Kurgu",Mehmet Ali Zaim,9/15/2023,"2,581","244,953",Asuman Zaim,"Serap Çetintürk, Şiar Zaim, Ali İhsan Bozdemir",5.5,3,Türkiye
Godless: Şeytan Tohumu,Godless: The Eastfield Exorcism,"Korku, Suç",Nick Kozakis,9/29/2023,"2,580","273,484","Tony Coombs , Lauren Simpson","Georgia Eyers, Dan Ewing, Tim Pocock",5.5,2,Avustralya
Mahkum 77,Modelo 77,"Gerilim, Dram",Alberto Rodriguez,3/17/2023,"2,555","198,195",FILM FACTORY ENTERTAINMENT,"Miguel Herrán, Javier Gutiérrez, Jesús Carroza",6.9,2,İspanya
Tanrının Unuttuğu Yer,"Vanskabte land, Godland",Dram,Hlynur Pálmason,7/14/2023,"2,383","209,533","Mikkel Jersin, Katrin Pors, Anton Máni Svansson","Elliott Crosset Hove, Ingvar Sigurdsson, Vic Carmen Sonne",7.2,6,"Danimarka, Fransa, İsveç, İzlanda"
Obsesyon,,Gerilim,Eray Altay,6/16/2023,"2,331","211,803",Ne Film Medya,"Ekin Mert Daymaz, Ege Kökenli, Sarp Can Köroğlu",4.6,2,Türkiye
Ren Altını,Rheingold,"Dram, Suç, Biyografi",Fatih Akın,7/7/2023,"2,277","230,428","Fatih Akın, Nurhan Sekerci-Porst, Herman Weigel","Emilio Sakraya, Mona Pirzad, Karim Güneş",6.8,7,"Almanya, Hollanda, İtalya"
Otoban Katilleri,,"Gerilim, Suç, Aksiyon",Tolga Kadıoğlu,8/25/2023,"2,236","211,669","Safkan Sinema, Ceylan Yapım","Korkut Çözer, Muhammet Mustafa Karademir, Barış Hacıhan",5.1,2,Türkiye
Aşkın Bununla Ne İlgisi Var?,What's Love Got to Do with It?,"Komedi, Romantik",Shekhar Kapur,5/19/2023,"2,184","234,067","Kate Lanier, Doug Chapin, Barry Krost","Mim Shaikh, Lily James, Emma Thompson",6.3,5,Birleşik Krallık
Kent Mezarlığında Sızıntı,,Korku,Umut Burçin Gülseçgin,10/6/2023,"2,147","197,335",Union Yapım,"Enfal Uzel, Samet Gürsel, Cengiz Çevik",3.0,2,Türkiye
Tehlikeli Sular,Dangerous Waters,Gerilim,John Barr,10/13/2023,"2,077","181,669","Marc Goldberg, Suza Horvat","Eric Dane, Odeya Rush, Ray Liotta",5.2,4,ABD
Aniden,,Dram,Melisa Önel,12/22/2023,"3,206","345,047",Alara Hamamcıoğlu,"Defne Kayalar, Öner Erkan, Şerif Erol",6.9,7,Türkiye
İntikam Oyunları,,"Dram, Aksiyon",Servet Aksoy,4/21/2023,"2,042","144,411",Zeki Sincar Production,"Barış Küçükgüler, Cansu Kanlıkaya, Mehmet Çepiç",5.5,3,Türkiye
Oyun Bitti,,Aksiyon,Gökhan Arı,10/27/2023,"2,010","202,741",Yakamoz Prodüksiyon,"İlker Aksum, Can Nergis, Melih Selçuk",4.0,2,Türkiye
Sekiz Dağ,"Le otto montagne, Eight Mountains",Dram,"Felix van Groeningen, Charlotte Vandermeersch",3/24/2023,"2,000","125,835","Mario Gianani , Lorenzo Gangarossa","Luca Marinelli, Alessandro Borghi, Lupo Barbiero",7.7,9,"Belçika, Fransa, İtalya"
Joyland,,Dram,Saim Sadiq,6/16/2023,"1,979","155,578","Apoorva Guru Charan, Sarmad Khoosat","Ali Junejo, Rasti Farooq, Alina Khan",7.6,9,"ABD, Pakistan"
Şeytana Sempati,Sympathy for the Devil,"Gerilim, Aksiyon",Yuval Adler,9/8/2023,"1,974","189,366","Nicolas Cage, Allan Ungar, Stuart Manashil","Nicolas Cage, Joel Kinnaman, Alexis Zollicoffer",5.5,2,ABD
Belle ve Sebastian: Cesur Dostum,Belle et Sébastien: Nouvelle génération,"Macera, Dram, Aksiyon",Pierre Coré,5/12/2023,"1,966","143,427","Clément Miserez, Matthieu Warter, Sidonie Dumas","Robinson Mensah Rouanet, Michèle Laroque",5.8,4,Fransa
Alya,,"Bilim-Kurgu, Aksiyon",Jandae Perçem,11/17/2023,"1,857","202,102",Oceans Filmworks,"Jandae Perçem, Edis Görgülü, Hande Ataizi",7.1,2,Türkiye
Saint Omer,,Dram,Alice Diop,6/9/2023,"1,828","139,400","Toufik Ayadi, Christophe Barral","Kayije Kagame, Guslagie Malanda, Xavier Maly",6.8,9,Fransa
Ulan Salih,,Komedi,Bülent Terzioğlu,3/10/2023,"1,827","122,873",Says Medya,"İnan Ulaş Torun, Eslem Akar, Levent Sülün",3.0,2,Türkiye
Maymun Kral Geri Döndü,"Xi You Ji Zhi Zai Shi Yao Wang, Monkey King Reborn","Animasyon, Fantastik, Aksiyon",Yunfei Wang,9/15/2023,"1,795","164,513",Yunfei Wang,"Yenni Ann, Xuecen Bai, Zhongyang Baomu",6.0,2,Çin
Tavuri,,Belgesel,Derviş Zaim,9/15/2023,"1,779","161,801",Marathon Film,Mustafa Serttaş,7.6,6,Türkiye
Adalet,,"Dram, Aksiyon",Özgür Bakar,6/23/2023,"1,776","169,738",2506,"Çağan Atakan Arslan, Ufuk Özkan, Eslem Akar",3.2,2,Türkiye
Şeker Kız ve Arkadaşları Macera Adasında,Tarsilinha,"Macera, Komedi, Animasyon","Kiko Mistrorigo, Celia Catunda",12/30/2022,"1,898","103,937",Ricardo Rozzino,"Özge Çeçen, Ahmet Tekeş, Burçin Artut",6.1,3,Brezilya
İkinci Görüşte Aşk,"Mon Inconnue, Love at Second Sight","Komedi, Dram, Romantik",Hugo Gélin,7/7/2023,"1,884","201,965","Hugo Gélin, Laetitia Galitzine, Valérie Garcia","François Civil, Joséphine Japy, Benjamin Lavernhe",6.9,2,"Belçika, Fransa"
Orman,,Korku,Mohsen Rabiei,12/30/2022,"1,869","101,575",Sos Medya,"Beyza Nur Önispir, Selda Yeliz Nar, Gizem Çelebi",7.0,3,Türkiye
Gizemli Mesaj,,"Korku, Gerilim",Tayfun Can Demirtaş,6/30/2023,"1,858","98,065","Hayalet Film, Skypic Films","Erkan Özmen, Ayşegül Kaygusuz, Yaprak Tüter",4.2,1,Türkiye
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,Gekijouban Sword Art Online the Movie: Progressive - Kuraki Yuuyami no Scherzo,"Macera, Animasyon, Aksiyon",Ayako Kouno,5/12/2023,"1,738","155,931","Kaoru Adachi, Yousuke Futami, Keisuke Hirai","Haruka Tomatsu, Yoshitsugu Matsuoka, Shiori Izawa",6.6,2,Japonya
Kötülük Diye Bir Şey Yok,"Aku wa sonzai shinai, Evil Does Not Exist","Dram, Müzik",Ryûsuke Hamaguchi,12/1/2023,"1,915","190,522","Satoshi Takata, Сатоси Такада","Hitoshi Omika, Ryô Nishikawa, Ryûji Kosaka",7.2,5,Japonya
Yüz Yüze,"Wesh X Wesh, Face to Face",Komedi,Waleed El Halfawy,11/3/2023,"1,706","199,015","Ahmad Fahmy, Hani Naguib","Mohamed Mamdouh, Amina Khalil, Mohamed Shahin",7.7,2,Mısır
Güvenli Bir Yer,"Sigurno Mjesto, Safe Place",Dram,Juraj Lerotic,9/15/2023,"1,704","137,926",MİLJENKA ČOGELJA,"Juraj Lerotic, Snjezana Sinovcic, Goran Markovic",7.3,7,Hırvatistan
Vesnan,,"Korku, Gerilim",Bülent Orçin,9/15/2023,"1,698","153,994",Orçin Yapım,"Mehmet Bilen, Beste Tosuner, Orkun Özcan",2.5,1,Türkiye
Savaş Atı,War Pony,Dram,"Gina Gammell, Riley Keough",5/26/2023,"1,680","117,542","Gina Gammell, Riley Keough, Willi White","Iona Red Bear, Wilma Colhof, Ashley Shelton",6.8,6,"ABD, Birleşik Krallık"
Venüs'te Görüşürüz,See You on Venus,"Dram, Romantik",Joaquín Llamas,8/4/2023,"1,680","171,930",Brian Pitt,"Virginia Gardner, Rob Estes, Alex Aiono",6.0,2,ABD
Mir Anka,,Korku,Ekrem Düzgünoğlu,8/4/2023,"1,676","164,276",BPM Müzik Film,"Simge Can, Ethem Çap, Emre Çelik",3.7,1,Türkiye
Her Şeye Rağmen,,Dram,Erdal Murat Aktaş,9/29/2023,"1,671","165,387",Verway,"Erkan Petekkaya, Sinan Akdeniz, Nihan Büyükağaç",6.6,1,Türkiye
Sisu,,"Suç, Aksiyon",Jalmari Helander,6/30/2023,"1,634","156,762",Petri Jokiranta,"Jorma Tommila, Aksel Hennie, Jack Doolan",6.9,2,"Birleşik Krallık, Finlandiya"
